源路径,目标路径,大小_字节
B:\vbench_struct\README_先读我.md,B:\vbench_github_clean\source_notes\README_先读我.md,4931
B:\vbench_struct\整理复制日志.txt,B:\vbench_github_clean\source_notes\整理复制日志.txt,696
B:\vbench_struct\目录清单.csv,B:\vbench_github_clean\source_notes\目录清单.csv,1174
B:\vbench_struct\04_评测结果\中文报告\ConsisID_official_VBench_bar_zh.svg,B:\vbench_github_clean\reports\中文报告\ConsisID_official_VBench_bar_zh.svg,4095
B:\vbench_struct\04_评测结果\中文报告\ConsisID_official_VBench_radar_zh.svg,B:\vbench_github_clean\reports\中文报告\ConsisID_official_VBench_radar_zh.svg,4571
B:\vbench_struct\04_评测结果\中文报告\ConsisID_official_VBench_report_zh.md,B:\vbench_github_clean\reports\中文报告\ConsisID_official_VBench_report_zh.md,3447
B:\vbench_struct\04_评测结果\中文报告\ConsisID_official_VBench_results_zh.csv,B:\vbench_github_clean\reports\中文报告\ConsisID_official_VBench_results_zh.csv,2665
B:\vbench_struct\04_评测结果\中文报告\official_key_mapping_appendix.csv,B:\vbench_github_clean\reports\中文报告\official_key_mapping_appendix.csv,1737
B:\vbench_struct\04_评测结果\图表和映射\ConsisID_official_VBench_bar_zh.svg,B:\vbench_github_clean\reports\图表和映射\ConsisID_official_VBench_bar_zh.svg,4095
B:\vbench_struct\04_评测结果\图表和映射\ConsisID_official_VBench_radar_zh.svg,B:\vbench_github_clean\reports\图表和映射\ConsisID_official_VBench_radar_zh.svg,4571
B:\vbench_struct\04_评测结果\图表和映射\official_key_mapping_appendix.csv,B:\vbench_github_clean\reports\图表和映射\official_key_mapping_appendix.csv,1737
B:\vbench_struct\04_评测结果\原始JSON\aesthetic_quality__results_2026-07-07-07_21_20_full_info.json,B:\vbench_github_clean\results\原始JSON\aesthetic_quality__results_2026-07-07-07_21_20_full_info.json,42595
B:\vbench_struct\04_评测结果\原始JSON\appearance_style__results_2026-07-07-07_28_41_full_info.json,B:\vbench_github_clean\results\原始JSON\appearance_style__results_2026-07-07-07_28_41_full_info.json,52200
B:\vbench_struct\04_评测结果\原始JSON\background_consistency__results_2026-07-07-07_16_18_full_info.json,B:\vbench_github_clean\results\原始JSON\background_consistency__results_2026-07-07-07_16_18_full_info.json,42276
