指标,得分,完成状态,说明,结果文件
主体一致性,,未完成,衡量主要主体在视频前后是否保持稳定一致。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/subject_consistency/results_2026-07-07-07:16:10_full_info.json
背景一致性,,未完成,衡量背景区域在时间维度上是否保持连贯稳定。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/background_consistency/results_2026-07-07-07:16:18_full_info.json
画面闪烁稳定性,0.969873,已完成,衡量视频是否存在明显的帧间闪烁和亮度跳变。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/temporal_flickering/results_2026-07-07-07:16:22_eval_results.json
运动平滑度,,未完成,衡量主体和镜头运动是否自然连续。,
动态程度,,未完成,衡量视频是否具有足够的动作变化，而不是接近静态图。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/dynamic_degree/results_2026-07-07-07:18:59_full_info.json
美学质量,,未完成,衡量视频整体审美观感、构图和视觉吸引力。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/aesthetic_quality/results_2026-07-07-07:21:20_full_info.json
成像质量,,未完成,衡量清晰度、噪声、伪影等基础画面质量。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/imaging_quality/results_2026-07-07-07:21:24_full_info.json
物体类别一致性,,未完成,衡量生成内容是否包含提示词要求的物体类别。,
多物体一致性,,未完成,衡量多个目标同时出现时是否都符合提示词要求。,
人物动作一致性,,未完成,衡量人物动作是否符合提示词描述。,
颜色一致性,,未完成,衡量生成结果是否符合提示词中的颜色要求。,
空间关系一致性,,未完成,衡量物体之间的空间位置关系是否符合提示词。,
场景一致性,,未完成,衡量视频场景是否符合提示词描述。,
时序风格一致性,,未完成,衡量视频是否符合提示词中的时间或季节风格要求。,
外观风格一致性,,未完成,衡量视频是否符合提示词中的外观或艺术风格要求。,outputs/official_vbench_v1_consisid/consisid_official_vbench_v1_single_20260705_155651/evaluation/appearance_style/results_2026-07-07-07:28:41_full_info.json
整体文本一致性,,未完成,综合衡量视频整体内容与文本提示词的一致程度。,
